1.png 428,115,503,201,2 451,164,475,175,0 
2.png 315,193,355,209,0 142,70,433,410,2 
3.png 167,210,195,221,0 110,124,279,390,2 
4.png 188,271,253,290,0 84,181,331,417,2 
5.png 97,28,295,421,2 114,173,230,216,0 
6.png 439,101,501,218,2 461,133,476,151,0 
7.png 275,92,315,110,0 154,67,358,338,2 
8.png 62,99,247,417,2 203,194,235,227,0 
9.png 197,187,339,483,2 249,268,286,298,0 
10.png 320,288,426,425,2 347,295,364,322,0 
11.png 102,75,257,305,2 144,186,177,197,0 
12.png 151,254,359,464,2 293,283,343,299,0 
13.png 102,80,253,237,2 179,126,190,142,0 
14.png 2,203,137,458,2 28,278,56,308,0 
15.png 84,69,315,475,2 263,236,301,293,0 
16.png 126,70,258,308,2 228,145,255,193,0 
17.png 148,76,366,300,2 288,89,310,100,0 
18.png 412,247,451,262,0 407,197,488,353,2 
19.png 438,86,508,198,2 463,146,482,158,0 
20.png 63,134,264,448,2 145,309,184,330,0 
21.png 37,103,144,299,2 70,163,90,183,0 
22.png 141,96,270,333,2 215,170,235,191,0 
23.png 63,134,159,317,2 100,184,114,202,0 
24.png 146,172,288,427,2 181,274,213,283,0 
25.png 166,136,222,194,0 139,98,261,337,2 
26.png 135,96,263,339,2 168,192,198,206,0 
27.png 155,100,244,333,2 178,153,196,181,0 
28.png 108,117,274,407,2 144,216,180,232,0 
29.png 120,142,207,164,0 109,20,302,320,2 
30.png 181,168,235,189,0 135,39,376,399,2 
31.png 199,56,425,439,2 276,255,327,271,0 
32.png 210,103,252,157,0 167,40,346,257,2 
33.png 135,216,166,274,0 84,126,248,479,2 
34.png 81,106,246,486,2 138,209,166,243,0 
35.png 145,92,178,113,0 69,86,275,289,2 
36.png 450,162,473,177,0 425,115,499,200,2 
37.png 105,77,251,299,2 188,117,212,139,0 
38.png 162,145,241,399,2 213,214,230,231,0 
39.png 102,79,254,281,2 128,111,162,129,0 
40.png 106,240,146,295,0 84,151,245,419,2 
41.png 84,102,244,447,2 136,190,160,220,0 
42.png 84,285,225,466,2 130,339,149,359,0 
43.png 138,231,170,286,0 84,135,249,489,2 
44.png 82,93,248,448,2 112,193,168,234,0 
